Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
between 0 to 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,3612,less than 100 DM,more than 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,48,existing credits paid back duly till now,car (new),7763,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,less than 100 DM,less than 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,1534,less than 100 DM,less than 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Bad
no checking account,24,delay in paying off in the past,car (new),2032,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee / official,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,less than 100 DM,between 1 to 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,Bad
no checking account,12,critical account/other credits existing (not at this bank),car (new),1255,less than 100 DM,more than 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,Good
less than 0 DM,24,delay in paying off in the past,car (new),1333,less than 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),car (new),2022,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,24,existing credits paid back duly till now,radio/television,1552,less than 100 DM,between 4 to 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,yes,Good
less than 0 DM,12,all credits at this bank paid back duly,radio/television,626,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,Bad
no checking account,48,critical account/other credits existing (not at this bank),car (used),8858,unknown/ no savings account,between 4 to 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,critical account/other credits existing (not at this bank),repairs,996,unknown/ no savings account,between 4 to 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,6,all credits at this bank paid back duly,radio/television,1750,between 500 to 1000 DM,more than 7 years,2,male : single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,none,yes,Good
less than 0 DM,48,existing credits paid back duly till now,radio/television,6999,less than 100 DM,between 4 to 7 years,1,male : married/widowed,gaurantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,12,critical account/other credits existing (not at this bank),car (new),1995,between 100 to 500 DM,less than 1 year,4,male : single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,9,existing credits paid back duly till now,education,1199,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,1331,less than 100 DM,less than 1 year,2,male : single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,between 100 to 500 DM,less than 1 year,3,female : divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,Bad
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,between 1 to 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,less than 100 DM,between 4 to 7 years,3,male : single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,1928,less than 100 DM,less than 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,Bad
less than 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,more than 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
less than 0 DM,24,all credits at this bank paid back duly,radio/television,1546,less than 100 DM,between 4 to 7 years,4,male : single,gaurantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,less than 100 DM,less than 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,between 1 to 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,between 1 to 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,24,delay in paying off in the past,radio/television,1553,between 100 to 500 DM,between 4 to 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,existing credits paid back duly till now,car (new),1372,less than 100 DM,between 4 to 7 years,2,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),radio/television,2578,more than 1000 DM,more than 7 years,2,male : single,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,between 4 to 7 years,4,male : single,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,Good
less than 0 DM,48,existing credits paid back duly till now,radio/television,6758,less than 100 DM,between 1 to 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
no checking account,30,critical account/other credits existing (not at this bank),radio/television,5954,less than 100 DM,between 4 to 7 years,3,male : single,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,15,existing credits paid back duly till now,business,806,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,9,existing credits paid back duly till now,radio/television,1082,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,Good
no checking account,15,critical account/other credits existing (not at this bank),furniture/equipment,2788,less than 100 DM,between 4 to 7 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,2930,less than 100 DM,between 4 to 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,24,critical account/other credits existing (not at this bank),education,1927,unknown/ no savings account,between 1 to 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,critical account/other credits existing (not at this bank),car (new),2820,less than 100 DM,less than 1 year,4,male : divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,Bad
no checking account,24,existing credits paid back duly till now,retraining,937,less than 100 DM,less than 1 year,4,male : married/widowed,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,18,critical account/other credits existing (not at this bank),car (new),1056,less than 100 DM,more than 7 years,3,male : single,gaurantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,12,critical account/other credits existing (not at this bank),car (new),3124,less than 100 DM,less than 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,Good
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,repairs,2384,less than 100 DM,less than 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,Bad
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,more than 7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,9,critical account/other credits existing (not at this bank),car (new),2799,less than 100 DM,between 1 to 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,less than 100 DM,between 1 to 4 years,4,male : single,gaurantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,less than 100 DM,between 1 to 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,12,critical account/other credits existing (not at this bank),furniture/equipment,2246,less than 100 DM,more than 7 years,3,male : single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee / official,1,none,yes,Bad
less than 0 DM,12,critical account/other credits existing (not at this bank),radio/television,385,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,between 1 to 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,21,existing credits paid back duly till now,business,1572,more than 1000 DM,more than 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,car (new),2718,less than 100 DM,between 1 to 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,24,all credits at this bank paid back duly,car (used),1358,unknown/ no savings account,more than 7 years,4,male : single,none,3,"car or other, not in attribute 6",40,stores,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
between 0 to 200 DM,6,all credits at this bank paid back duly,car (new),931,between 100 to 500 DM,less than 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,none,yes,Bad
less than 0 DM,24,existing credits paid back duly till now,car (new),1442,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,24,no credits taken/ all credits paid back duly,business,4241,less than 100 DM,between 1 to 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
no checking account,18,critical account/other credits existing (not at this bank),car (new),2775,less than 100 DM,between 4 to 7 years,2,male : single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee / official,1,none,yes,Bad
no checking account,24,delay in paying off in the past,business,3863,less than 100 DM,between 1 to 4 years,1,male : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,7,existing credits paid back duly till now,radio/television,2329,less than 100 DM,less than 1 year,1,female : divorced/separated/married,gaurantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,24,all credits at this bank paid back duly,education,1837,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,Bad
no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,less than 100 DM,between 1 to 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",28,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
more than 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,between 500 to 1000 DM,between 1 to 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,24,critical account/other credits existing (not at this bank),business,4526,less than 100 DM,between 1 to 4 years,3,male : single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,existing credits paid back duly till now,radio/television,2671,between 100 to 500 DM,between 1 to 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,Bad
no checking account,18,existing credits paid back duly till now,radio/television,2051,less than 100 DM,less than 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,more than 7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,domestic appliances,741,between 100 to 500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,between 100 to 500 DM,more than 7 years,1,female : divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,Bad
less than 0 DM,21,existing credits paid back duly till now,radio/television,3357,more than 1000 DM,less than 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,24,all credits at this bank paid back duly,car (used),3632,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,gaurantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,no,Good
no checking account,18,delay in paying off in the past,furniture/equipment,1808,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",48,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,between 1 to 4 years,2,male : single,none,2,unknown / no property,27,none,for free,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
less than 0 DM,6,critical account/other credits existing (not at this bank),car (new),3676,less than 100 DM,between 1 to 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,Good
between 0 to 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,between 100 to 500 DM,between 1 to 4 years,2,female : divorced/separated/married,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes,Bad
no checking account,12,existing credits paid back duly till now,car (new),640,less than 100 DM,between 1 to 4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,21,critical account/other credits existing (not at this bank),business,3652,less than 100 DM,between 4 to 7 years,2,male : single,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,18,critical account/other credits existing (not at this bank),car (new),1530,less than 100 DM,between 1 to 4 years,3,male : single,none,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee / official,1,none,yes,Bad
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,between 1 to 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,radio/television,2600,less than 100 DM,between 1 to 4 years,4,male : single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,Bad
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,more than 7 years,4,male : single,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,less than 100 DM,between 1 to 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,9,all credits at this bank paid back duly,car (new),1437,between 100 to 500 DM,between 4 to 7 years,2,male : single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,Bad
no checking account,42,critical account/other credits existing (not at this bank),furniture/equipment,4042,between 500 to 1000 DM,between 1 to 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,more than 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,Good
less than 0 DM,24,existing credits paid back duly till now,radio/television,3660,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,less than 100 DM,between 1 to 4 years,4,male : single,none,3,"car or other, not in attribute 6",44,bank,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,less than 1 year,4,male : single,none,1,building society savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,less than 100 DM,less than 1 year,2,female : divorced/separated/married,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,24,existing credits paid back duly till now,car (new),1355,less than 100 DM,less than 1 year,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
no checking account,12,existing credits paid back duly till now,education,1393,less than 100 DM,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,24,existing credits paid back duly till now,radio/television,1376,between 500 to 1000 DM,between 4 to 7 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,60,delay in paying off in the past,radio/television,15653,less than 100 DM,between 4 to 7 years,2,male : single,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,1493,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,none,yes,Good
less than 0 DM,42,delay in paying off in the past,radio/television,4370,less than 100 DM,between 4 to 7 years,3,male : single,none,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,Bad
less than 0 DM,18,existing credits paid back duly till now,education,750,less than 100 DM,unemployed,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Bad
between 0 to 200 DM,15,existing credits paid back duly till now,repairs,1308,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",38,none,own,2,unskilled - resident,1,none,yes,Good
no checking account,15,existing credits paid back duly till now,education,4623,between 100 to 500 DM,between 1 to 4 years,3,male : single,none,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),radio/television,1851,less than 100 DM,between 4 to 7 years,4,male : married/widowed,gaurantor,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,18,critical account/other credits existing (not at this bank),radio/television,1880,less than 100 DM,between 4 to 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,less than 1 year,4,male : single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,less than 100 DM,between 1 to 4 years,2,male : divorced/separated,gaurantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,12,existing credits paid back duly till now,car (new),1386,between 500 to 1000 DM,between 1 to 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/life insurance,26,none,own,1,skilled employee / official,1,none,yes,Bad
more than 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,less than 100 DM,between 4 to 7 years,4,male : single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,Bad
less than 0 DM,12,existing credits paid back duly till now,education,684,less than 100 DM,between 1 to 4 years,4,male : single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2,none,yes,Bad
less than 0 DM,48,existing credits paid back duly till now,education,7476,less than 100 DM,between 4 to 7 years,4,male : single,none,1,unknown / no property,50,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,less than 100 DM,between 1 to 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,1,none,yes,Bad
less than 0 DM,24,existing credits paid back duly till now,car (new),2303,less than 100 DM,more than 7 years,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,36,delay in paying off in the past,car (new),8086,between 100 to 500 DM,more than 7 years,2,male : single,none,4,"car or other, not in attribute 6",42,none,own,4,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,24,critical account/other credits existing (not at this bank),car (used),2346,less than 100 DM,between 4 to 7 years,4,male : single,none,3,"car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,14,existing credits paid back duly till now,car (new),3973,less than 100 DM,unemployed,1,male : single,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,car (new),888,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2,none,yes,Bad
no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,between 4 to 7 years,4,male : single,none,3,"car or other, not in attribute 6",37,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,30,no credits taken/ all credits paid back duly,business,4221,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,6361,less than 100 DM,more than 7 years,2,male : single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,less than 100 DM,between 1 to 4 years,3,male : married/widowed,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,between 1 to 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,Bad
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,less than 100 DM,more than 7 years,4,male : single,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,6,delay in paying off in the past,furniture/equipment,1050,less than 100 DM,unemployed,4,male : single,none,1,building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,6,critical account/other credits existing (not at this bank),education,1047,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,50,none,own,1,unskilled - resident,1,none,yes,Good
no checking account,24,critical account/other credits existing (not at this bank),car (used),6314,less than 100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,more than 1000 DM,between 1 to 4 years,4,male : single,none,2,"car or other, not in attribute 6",34,stores,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,48,all credits at this bank paid back duly,business,3609,less than 100 DM,between 1 to 4 years,1,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,12,critical account/other credits existing (not at this bank),car (new),4843,less than 100 DM,more than 7 years,3,male : single,co-applicant,4,building society savings agreement/life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
more than 200 DM / salary assignments for at least 1 year,30,critical account/other credits existing (not at this bank),radio/television,3017,less than 100 DM,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,47,none,own,1,skilled employee / official,1,none,yes,Good
